snapshot,time_gyr,main_halo_num,merging_halo_num,main_mstar,merging_mstar,main_mvir,merging_mvir,main_mgas,merging_mgas,redshift,main_haloid,merging_haloid
000384,1.297293897963519,21,39,38554.8,38554.8,512224000.0,184690000.0,55744200.0,26896100.0,4.812711810738614,2368932,2368950
000576,1.9404385418157974,4,35,4941270.0,4837.55,2378930000.0,396511000.0,275402000.0,34302900.0,3.43453975563951,2060751,2060782
000672,2.262010863740911,4,9,7394760.0,5225800.0,3318420000.0,1602500000.0,414532000.0,200930000.0,2.9979038045576605,1961278,1961283
000672,2.262010863740911,4,66,7394760.0,80297.9,3318420000.0,195050000.0,414532000.0,32604900.0,2.9979038045576605,1961278,1961340
000768,2.5835831856765124,1,50,17943000.0,89219.2,7105260000.0,301269000.0,900079000.0,29469700.0,2.652862300176985,2728532,2728581
000864,2.905155507616573,1,26,21175600.0,7806270.0,8651970000.0,474185000.0,1031610000.0,112830000.0,2.371793050516793,2627131,2627156
000864,2.905155507616573,1,90,21175600.0,85954.6,8651970000.0,185890000.0,1031610000.0,12999800.0,2.371793050516793,2627131,2627220
000864,2.905155507616573,1,2,21175600.0,23927600.0,8651970000.0,6275450000.0,1031610000.0,449657000.0,2.371793050516793,2627131,2627132
000960,3.226727829564221,1,8,63998500.0,27368400.0,16235200000.0,2397310000.0,1631640000.0,220921000.0,2.1373592677768563,2826909,2826916
001344,4.5130171173058855,1,31,118783000.0,669891.0,21392600000.0,942727000.0,1429240000.0,12967800.0,1.4825267927991086,2424886,2424916
001632,5.477734083129256,1,6,141470000.0,10300800.0,27133200000.0,5782610000.0,1977490000.0,293539000.0,1.1599408588869475,2234970,2234975
001632,5.477734083129256,1,17,141470000.0,3349570.0,27133200000.0,2021490000.0,1977490000.0,86940300.0,1.1599408588869475,2234970,2234986
001632,5.477734083129256,1,18,141470000.0,2353290.0,27133200000.0,1987470000.0,1977490000.0,92958700.0,1.1599408588869475,2234970,2234987
001728,5.7993064050790375,1,3,160206000.0,151110000.0,38704000000.0,8111610000.0,3157500000.0,615319000.0,1.0715256362287557,3239471,3239473
001728,5.7993064050790375,1,21,160206000.0,3539500.0,38704000000.0,1601030000.0,3157500000.0,76356700.0,1.0715256362287557,3239471,3239491
002016,6.764023370928622,1,6,192615000.0,15317100.0,54700500000.0,4263390000.0,4716940000.0,751616000.0,0.8462899480554098,3139137,3139142
002112,7.085595692878701,1,11,208421000.0,14095100.0,54287000000.0,2248100000.0,4812730000.0,512089000.0,0.7818216440833516,1992182,1992192
002208,7.40716801482748,1,27,253984000.0,3757840.0,55848400000.0,793305000.0,4763460000.0,138484000.0,0.72162621019472,2026530,2026556
002208,7.40716801482748,1,30,253984000.0,405772.0,55848400000.0,1192290000.0,4763460000.0,14045000.0,0.72162621019472,2026530,2026559
002400,8.050312658726286,1,29,265827000.0,4100990.0,53426000000.0,630597000.0,4604030000.0,137627000.0,0.612223229043662,2660114,2660142
