snapshot,time_gyr,main_halo_num,merging_halo_num,main_mstar,merging_mstar,main_mvir,merging_mvir,main_mgas,merging_mgas,redshift,main_haloid,merging_haloid
000864,2.905155507616573,10,17,4933450.0,2599780.0,2139020000.0,1240290000.0,226904000.0,76311400.0,2.371793050516793,2627140,2627147
000960,3.226727829564221,4,23,7772210.0,2677190.0,4029970000.0,912133000.0,399785000.0,64417800.0,2.1373592677768563,2826912,2826931
001056,3.5483001515024455,2,27,7833270.0,2786210.0,5124890000.0,725404000.0,469373000.0,66770400.0,1.9380846911258844,3173577,3173602
001152,3.8698724734480248,2,26,8336880.0,5363350.0,5836370000.0,690797000.0,527425000.0,88041800.0,1.7660454542205075,2526640,2526664
002208,7.40716801482748,4,11,10019800.0,8648330.0,8677710000.0,3615870000.0,748959000.0,123619000.0,0.72162621019472,2026533,2026540
002304,7.728740336776379,3,14,18221300.0,8900330.0,12141900000.0,2627050000.0,977013000.0,104716000.0,0.6652282905464735,2593040,2593051
002400,8.050312658726286,3,50,19256600.0,8183250.0,13925400000.0,313480000.0,1087230000.0,58413800.0,0.612223229043662,2660116,2660163
002496,8.37188498067618,4,61,30920600.0,9229610.0,13741400000.0,325950000.0,687753000.0,524506.0,0.5622642834427216,2760606,2760663
