snapshot,time_gyr,main_halo_num,merging_halo_num,main_mstar,merging_mstar,main_mvir,merging_mvir,main_mgas,merging_mgas,redshift,main_haloid,merging_haloid
000384,1.297293897964621,3,5,9894160.0,2174670.0,1651690000.0,800873000.0,208779000.0,90288100.0,4.812711810735305,4313481,4313483
002688,9.015029624525555,6,7,36254400.0,12633800.0,11149800000.0,4537910000.0,250275000.0,73152800.0,0.4703288657618374,3579252,3579253
002784,9.336601946475513,4,9,37969100.0,12696600.0,14330400000.0,2892920000.0,388484000.0,55454600.0,0.42786747573748385,4336382,4336387
002976,9.979746590375099,3,16,39245000.0,12943100.0,16227300000.0,1490920000.0,492872000.0,58469400.0,0.34896460982724054,3510827,3510840
003072,10.30131891232472,3,16,39265100.0,12899800.0,17116700000.0,1279330000.0,542073000.0,65544500.0,0.31219573547935187,4008112,4008125
003168,10.62289123427461,3,32,39376600.0,12416400.0,17882100000.0,369301000.0,591585000.0,59787700.0,0.27702793017413097,4278906,4278935
