snapshot,time_gyr,main_halo_num,merging_halo_num,main_mstar,merging_mstar,main_mvir,merging_mvir,main_mgas,merging_mgas,redshift,main_haloid,merging_haloid
003840,12.873897487922786,20,56,33160.8,40786.3,1611950000.0,371123000.0,325544,0,0.06694861913577177,4245124,4245160
003936,13.1954698098727,20,63,34306.2,40786.1,1672580000.0,322995000.0,377918,0,0.041133081990635256,3719477,3719520
004032,13.517042131822349,19,104,36020.4,40785.9,1748660000.0,200483000.0,510395,0,0.016180176224984466,3857902,3857987
