snapshot,time_gyr,main_halo_num,merging_halo_num,main_mstar,merging_mstar,main_mvir,merging_mvir,main_mgas,merging_mgas,redshift,main_haloid,merging_haloid
001408,4.727398665168711,3,6,2798840.0,1579930.0,4831720000.0,1906820000.0,342317000.0,79499900.0,1.4019186731979194,313375,48891
001543,5.1796097428857255,3,12,2929150.0,1781540.0,4800340000.0,892166000.0,323721000.0,49216500.0,1.2494677632685023,3,25108
001813,6.084031898330908,3,14,3161860.0,1037470.0,5059340000.0,685423000.0,340016000.0,43985300.0,0.9993614554652239,338810,249958
001920,6.442451048812736,3,17,3718880.0,1043200.0,5959530000.0,495776000.0,368853000.0,36871500.0,0.9155935527469601,300441,313389
002048,6.87121414472478,3,29,3880150.0,1108410.0,6486590000.0,144717000.0,378772000.0,20736600.0,0.8242930325776419,287486,29
002176,7.299977240632852,4,49,4773750.0,4574.85,7447370000.0,160522000.0,417943000.0,0.0,0.7412475289787332,471548,338856
