snapshot,time_gyr,main_halo_num,merging_halo_num,main_mstar,merging_mstar,main_mvir,merging_mvir,main_mgas,merging_mgas,redshift,main_haloid,merging_haloid
000291,0.9857707111013563,7,12,2638030.0,246017.0,1698470000.0,192068000.0,25615300.0,8525180.0,5.985763517498792,12859,86894
001025,3.4444590891595097,6,28,2614680.0,7690.19,1885450000.0,195894000.0,27874900.0,0.0,1.9991293710484581,415238,275583
001152,3.869872473372461,6,62,2605820.0,7627.54,1969240000.0,116982000.0,26746000.0,0.0,1.7660454542582111,74377,364546
001162,3.903369590239607,7,72,2593630.0,7623.05,1997310000.0,96803100.0,20829300.0,0.0,1.7494470750299072,48892,12924
001280,4.298635569270685,8,84,2545600.0,7573.99,2251890000.0,83976100.0,13331400.0,0.0,1.5694666434945104,249952,415316
001331,4.469470865292553,10,98,2510530.0,7554.78,2708560000.0,71931900.0,18028700.0,0.0,1.4996476628885964,174548,74469
001408,4.727398665168711,10,158,2510510.0,7527.7,2728450000.0,39305300.0,18705800.0,0.0,1.4019186731979194,471554,49043
