snapshot,time_gyr,main_halo_num,merging_halo_num,main_mstar,merging_mstar,main_mvir,merging_mvir,main_mgas,merging_mgas,redshift,main_haloid,merging_haloid
000896,3.012346281572668,4,12,3300230.0,116547,2300080000.0,626652000.0,202134000.0,41892100.0,2.289125928489568,447357,447365
001025,3.4444590891595097,2,13,4111270.0,174372,3591020000.0,490111000.0,336337000.0,41324000.0,1.9991293710484581,275557,275568
001162,3.903369590239607,2,14,4366210.0,188892,4260550000.0,471174000.0,351561000.0,41699900.0,1.7494470750299072,12854,12866
001280,4.298635569270685,2,17,4599960.0,229014,4694470000.0,388176000.0,393715000.0,46622400.0,1.5694666434945104,415234,415249
