snapshot,time_gyr,main_halo_num,merging_halo_num,main_mstar,merging_mstar,main_mvir,merging_mvir,main_mgas,merging_mgas,redshift,main_haloid,merging_haloid
000384,1.297293897964621,6,7,720356.0,606.301,735717000.0,469833000.0,69278100.0,37212000.0,4.812711810735305,4313484,4313485
000640,2.1548200897672616,3,28,11004000.0,1263280.0,4068650000.0,290403000.0,369579000.0,63636600.0,3.131475280941756,4110774,4110799
000672,2.2620108637420917,2,33,10390500.0,1219420.0,4394190000.0,198372000.0,382739000.0,37437700.0,2.9979038045562474,3411653,3411684
