snapshot,time_gyr,main_halo_num,merging_halo_num,main_mstar,merging_mstar,main_mvir,merging_mvir,main_mgas,merging_mgas,redshift,main_haloid,merging_haloid
000576,1.9404385418157974,5,102,4425800.0,16718.3,2108840000.0,156725000.0,252117000.0,1087850.0,3.43453975563951,2060752,2060849
000672,2.262010863740911,7,140,5169570.0,16494.1,2464380000.0,121010000.0,269553000.0,984714.0,2.9979038045576605,1961281,1961414
000768,2.5835831856765124,7,176,5994020.0,16316.5,2618450000.0,101254000.0,240130000.0,158727.0,2.652862300176985,2728538,2728707
000864,2.905155507616573,7,213,6473870.0,16170.3,2678750000.0,83493800.0,215793000.0,68295.9,2.371793050516793,2627137,2627343
000960,3.226727829564221,9,275,7120800.0,16249.5,2717140000.0,60647400.0,184731000.0,2062.59,2.1373592677768563,2826917,2827183
001056,3.5483001515024455,9,364,6929770.0,25197.0,2743290000.0,47409100.0,165955000.0,0.0,1.9380846911258844,3173584,3173939
002400,8.050312658726286,10,28,7616180.0,1032380.0,4635070000.0,1263390000.0,122547000.0,19133100.0,0.612223229043662,2660123,2660141
003072,10.30131891237399,8,33,9898520.0,1135330.0,5930800000.0,1018520000.0,247456000.0,25336700.0,0.3121957354738436,3274087,3274112
003168,10.622891234320546,8,38,10176700.0,1147650.0,5968160000.0,904050000.0,274111000.0,25252500.0,0.27702793016921534,2090126,2090156
003264,10.944463556269953,8,53,10403400.0,1162850.0,6023540000.0,557471000.0,269737000.0,20011300.0,0.24334006695300192,2493791,2493836
