snapshot,time_gyr,main_halo_num,merging_halo_num,main_mstar,merging_mstar,main_mvir,merging_mvir,main_mgas,merging_mgas,redshift,main_haloid,merging_haloid
001344,4.5130171173058855,16,27,617439.0,361779.0,2103590000.0,1113110000.0,53496000.0,9810850.0,1.4825267927991086,2424901,2424912
001440,4.834589439230396,11,49,989086.0,359756.0,3433370000.0,613094000.0,115492000.0,6803460.0,1.3637530585840465,3077327,3077365
001632,5.477734083129256,9,63,1091660.0,357154.0,4089450000.0,443876000.0,122030000.0,9327390.0,1.1599408588869475,2234978,2235032
001728,5.7993064050790375,10,93,1082020.0,355810.0,4358230000.0,251936000.0,138562000.0,6452540.0,1.0715256362287557,3239480,3239563
002880,9.658174268475344,8,35,2324850.0,3049.98,5759040000.0,1117020000.0,199956000.0,366213.0,0.3874706768970875,2269694,2269721
002976,9.979746590424593,7,41,2438910.0,3049.95,6419250000.0,925990000.0,219056000.0,262490.0,0.34896460982145094,2335669,2335703
003072,10.30131891237399,6,61,2542350.0,3049.93,6866450000.0,519239000.0,249132000.0,200802.0,0.3121957354738436,3274085,3274140
003264,10.944463556269953,6,66,2768380.0,3049.89,7387290000.0,485664000.0,282960000.0,69877.5,0.24334006695300192,2493789,2493849
003360,11.266035878219231,6,66,2855230.0,3049.87,7687810000.0,458824000.0,295200000.0,74740.5,0.21102399041679587,2134095,2134155
003456,11.587608200167903,5,81,2933340.0,3049.85,7860320000.0,374551000.0,304668000.0,130299.0,0.17998281181186937,2302999,2303075
003552,11.90918052211734,6,100,3037960.0,3049.83,7882270000.0,278973000.0,306255000.0,214292.0,0.15012946655103998,2924403,2924497
