snapshot,time_gyr,main_halo_num,merging_halo_num,main_mstar,merging_mstar,main_mvir,merging_mvir,main_mgas,merging_mgas,redshift,main_haloid,merging_haloid
002976,9.979746590424593,9,28,27184.0,5060.56,5795720000.0,1248090000.0,185213000.0,13060700.0,0.34896460982145094,2335671,2335690
003072,10.30131891237399,9,32,39346.3,8521.75,5800830000.0,1120890000.0,192592000.0,13327300.0,0.3121957354738436,3274088,3274111
003168,10.622891234320546,9,35,53453.8,11559.7,5971640000.0,1000900000.0,208684000.0,13239900.0,0.27702793016921534,2090127,2090153
003264,10.944463556269953,9,40,67930.6,18813.1,6263350000.0,811944000.0,225436000.0,13453900.0,0.24334006695300192,2493792,2493823
003360,11.266035878219231,8,69,89532.9,30297.4,6551400000.0,401362000.0,240841000.0,13235500.0,0.21102399041679587,2134097,2134158
003552,11.90918052211734,9,58,156006.0,60010.4,6408340000.0,464696000.0,241630000.0,18478800.0,0.15012946655103998,2924406,2924455
003648,12.230752844066304,8,85,187136.0,73618.9,6391430000.0,279501000.0,243399000.0,14704600.0,0.12138548791284665,2794522,2794599
