snapshot,time_gyr,main_halo_num,merging_halo_num,main_mstar,merging_mstar,main_mvir,merging_mvir,main_mgas,merging_mgas,redshift,main_haloid,merging_haloid
002784,9.336601946525509,17,110,81773.2,81963.7,2270880000.0,245117000.0,5726390.0,0,0.42786747573104655,2166852,2166945
002880,9.658174268475344,17,120,81963.1,81963.1,2237740000.0,223406000.0,5144140.0,0,0.3874706768970875,2269703,2269806
002976,9.979746590424593,17,130,81962.5,81962.5,2200530000.0,198258000.0,4611130.0,0,0.34896460982145094,2335679,2335792
003072,10.30131891237399,17,134,81961.9,81961.9,2152500000.0,184940000.0,4009220.0,0,0.3121957354738436,3274096,3274213
003168,10.622891234320546,18,141,81961.4,81961.4,2135660000.0,171505000.0,4087270.0,0,0.27702793016921534,2090136,2090259
003264,10.944463556269953,18,148,81960.9,81960.9,2146320000.0,159301000.0,4168400.0,0,0.24334006695300192,2493801,2493931
003360,11.266035878219231,17,173,81960.4,81960.4,2217350000.0,131293000.0,4402540.0,0,0.21102399041679587,2134106,2134262
003456,11.587608200167903,17,245,81960.0,81960.0,2250760000.0,87473600.0,4928340.0,0,0.17998281181186937,2303011,2303239
003552,11.90918052211734,17,300,81959.6,81959.6,2275780000.0,64732200.0,5680070.0,0,0.15012946655103998,2924414,2924697
