snapshot,time_gyr,main_halo_num,merging_halo_num,main_mstar,merging_mstar,main_mvir,merging_mvir,main_mgas,merging_mgas,redshift,main_haloid,merging_haloid
000384,1.2972938979674051,2,16,1449220.0,156653,1020340000.0,212386000.0,96229400.0,1372340.0,4.812711810726945,166572,166586
000482,1.6255656432695071,2,17,1862440.0,155910,1751660000.0,200990000.0,232419000.0,348391.0,3.9960574320227122,427682,427697
000512,1.726056993870723,2,23,2053440.0,155728,2008030000.0,155041000.0,270237000.0,242262.0,3.798502642483312,131841,131862
000640,2.1548200897689984,2,67,3885400.0,155104,2587030000.0,71661300.0,315968000.0,0.0,3.1314752809395037,497300,497365
000672,2.262010863743585,2,121,4709240.0,154775,2790270000.0,36515700.0,308373000.0,0.0,2.9979038045544586,436769,436888
