snapshot,time_gyr,main_halo_num,merging_halo_num,main_mstar,merging_mstar,main_mvir,merging_mvir,main_mgas,merging_mgas,redshift,main_haloid,merging_haloid
001632,5.477734083079652,9,5,1690040.0,4087160.0,3346400000.0,5542730000.0,120527000.0,237878000.0,1.1599408589012072,4575972,4575968
001728,5.799306405029615,3,9,5789090.0,4109450.0,9125330000.0,3220800000.0,542242000.0,126090000.0,1.0715256362417551,4209916,4209922
001824,6.120878726979602,3,12,6442530.0,4254350.0,11717900000.0,2086960000.0,752168000.0,106111000.0,0.9904031745896769,3972794,3972803
002016,6.764023370879723,3,13,8215880.0,3179620.0,13632600000.0,1886450000.0,950560000.0,172285000.0,0.846289948065565,3822637,3822647
002112,7.085595692828134,2,12,9003340.0,5174410.0,15049500000.0,2054890000.0,1039440000.0,195660000.0,0.7818216440931394,3684177,3684187
002208,7.407168014778423,3,12,10183000.0,5699270.0,14571600000.0,1830900000.0,1085130000.0,193791000.0,0.7216262102036024,4371349,4371358
002304,7.728740336727385,3,25,12369100.0,7905810.0,14475300000.0,754638000.0,1075750000.0,80210900.0,0.6652282905547982,4174695,4174717
002400,8.050312658675832,3,27,13020200.0,7966580.0,14283700000.0,497787000.0,1067500000.0,107802000.0,0.6122232290517313,3614217,3614241
