bincenter,h148,h229,h242,h329
55000.0,,,,
550000.0,,,,
5500000.0,0.0008841732979664014,0.0009633911368015414,0.0010070493454179255,0.0
55000000.0,0.017278617710583154,0.01098901098901099,0.010526315789473684,0.027522935779816515
550000000.0,0.15555555555555556,0.4,0.4444444444444444,0.4444444444444444
5500000000.0,1.0,1.0,1.0,1.0
55000000000.0,1.0,,1.0,
550000000000.0,,,,
5500000000000.0,,,,
