V_mag,N_star,log10Mstar,sim
-18.80713670405951,435431,9.355830799203352,h148
-17.74953465037792,294793,9.17672351200012,h148
-16.502942706027305,85749,8.635267268562039,h148
-16.089939902278946,26111,8.131685733083566,h148
-14.510813785878685,21027,8.018603701847022,h148
-13.2017312994598,2459,7.093953540611393,h148
-15.050524421750094,20107,8.001909507476475,h148
-8.50754261194237,25,5.10482812644833,h148
-12.573772494848125,2789,7.138016074053488,h148
-4.55140555562797,2,3.9922917955990838,h148
-11.36807983000567,568,6.450709847489989,h148
-13.299303200978738,6228,7.486255404673581,h148
-4.992603366214774,3,4.168383086465671,h148
-7.998226706526367,44,5.3351057287135735,h148
-12.424370317998463,2582,7.112595975540318,h148
-10.767828619799452,418,6.314665573791538,h148
-9.747657234950655,230,6.053504379353819,h148
-11.120709057010377,812,6.601421569020652,h148
-5.025252482724499,3,4.168384066240429,h148
-5.552673117993896,5,4.390430506992517,h148
-7.985337209263213,49,5.381956916999558,h148
-5.2926957270783435,2,5.07818173334814,h148
-3.817185840318511,1,3.691262353444531,h148
-5.697873101095588,6,4.469882287545463,h148
-3.7837713973921643,1,3.6912613609443645,h148
-7.144315954270782,20,4.992741737672884,h148
-8.809063492581231,89,5.641159516512912,h148
-8.387480950935428,64,5.4980040697398875,h148
-4.701958092826749,2,3.9922975406108834,h148
-13.684931163179998,4642,7.367218858862924,h229
-14.24676148377448,15681,7.887550491167786,h229
-11.31615611482351,973,6.680018758003778,h229
-11.76425030935313,1379,6.83191880452925,h229
-9.100309910272006,127,5.795604757328202,h229
-8.729097098722573,93,5.660191793017641,h229
-13.297086660244775,5339,7.420817572105489,h229
-10.696719541450735,552,6.433921139908989,h229
-5.015397033890991,3,4.168386382062887,h229
-10.48973069410909,466,6.360253140504759,h229
-9.027877229448624,120,5.770996355836296,h229
-8.065694061639622,48,5.372939846941084,h229
-5.0166181923809265,3,4.168386432959945,h229
-6.3131370071475965,10,4.691678347166173,h229
-16.936462228776136,163865,8.915810212487976,h242
-16.697161731020486,160009,8.901022700582306,h242
-12.405072489621645,2467,7.135446616114428,h242
-12.822139662465762,4359,7.459417786544772,h242
-13.24139873361972,4951,7.38847650159691,h242
-9.160626029232978,126,5.792131126812772,h242
-8.591316299307564,74,5.560971186014605,h242
-6.77393053964642,16,4.895751510463287,h242
-9.553863287418192,199,5.990673928110206,h242
-6.243468053265641,8,4.594554562742527,h242
-3.8001026816016186,1,3.691845894219363,h242
-4.718489461312015,2,3.9925619579305276,h242
-13.657495696972369,5520,7.438922185431312,h329
-8.227704346010883,53,5.415931644845319,h329
-9.787424789895065,223,6.040102791090804,h329
-10.78660724698267,627,6.489138785721384,h329
-6.1776487233757615,9,4.645874572539144,h329
-4.534523753782025,2,3.992513791706097,h329
-6.8363055883549615,16,4.895474607235382,h329
-6.547076992945293,11,4.7329457053550765,h329
